cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15039.0,33,81,0.5,41908,1011507.150343551,14435,161374,36404.375,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15420.0,28,35,0.5,38075,0.0,13554,298023,32585.8125,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13535.0,29,34,0.5,33808,1543020.7378266791,12763,401797,35648.3438,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12276.0,28,35,0.5,39589,661967.5383229202,12670,332326,32064.8281,-30.0,7.0,9.0,-35.0,-26.0,9.0
9988.0,26,31,1.0,42468,0.0,9790,345119,22821.5859,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8544.0,25,29,1.0,34871,3531514.4820146547,8151,452794,25414.207,-27.0,0.0,43.0,-30.0,-21.0,7.0
6623.0,21,23,0.5,29173,906124.9003943843,6578,829918,34661.3965,-24.0,-1.0,48.0,-26.0,-12.0,6.0
6116.0,19,22,0.5,25884,1024544.9275273157,5712,909638,20543.8018,-21.0,1.0,51.0,-25.0,-13.0,5.0
5210.0,21,26,1.0,20994,0.0,5256,441364,16411.5991,-18.0,2.0,74.0,-20.0,-10.0,4.0
4215.0,30,34,1.0,17872,0.0,4189,434089,16046.2004,-17.0,6.0,69.0,-20.0,-11.0,3.0
3961.0,38,43,1.0,15609,0.0,3782,458209,20203.8998,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3669.0,33,37,1.0,14366,2242254.5208128626,3488,641569,22776.0501,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5242.0,40,42,1.0,14948,429993.0625424708,4623,797432,31580.9749,-19.0,0.0,62.0,-21.0,-12.0,4.0
5504.0,38,41,1.0,16034,1233612.0054617967,5164,818593,31103.0125,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6454.0,34,38,1.0,17524,0.0,6353,975203,33335.4937,-19.0,-2.0,77.0,-21.0,-13.0,4.0
7983.0,32,36,1.0,19128,0.0,8017,1223728,32894.7531,-17.0,0.0,69.0,-20.0,-14.0,4.0
7269.0,29,32,1.0,18625,202810.77541885062,7262,1269795,35842.1234,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7052.0,26,29,1.0,17713,0.0,7498,1231875,27076.9383,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6814.0,26,29,1.0,16592,1282295.9314652747,6903,1221581,23045.5309,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6262.0,23,26,1.0,14827,404709.33429265354,6527,1106177,20011.2346,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5925.0,28,30,1.0,14191,882054.8803039443,5901,1107181,17906.3827,-15.0,0.0,81.0,-18.0,-17.0,2.0
5132.0,25,30,1.0,12832,0.0,5108,1030219,16505.8086,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5585.0,25,28,1.0,11135,3298456.249437711,5549,967531,16404.5957,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5365.0,26,30,1.0,10848,1813407.5126842419,5281,1087434,16726.7022,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4915.0,50,56,1.0,10612,976656.3349163644,4790,1133216,17452.6489,-13.0,-1.0,42.0,-20.0,-11.0,2.0
5000.0,31,37,1.0,11215,0.0,4830,1076097,20818.6755,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5022.0,32,35,1.0,12142,0.0,4875,1134866,22114.6622,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5751.0,35,37,1.0,14254,0.0,5672,1202394,37903.1689,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5733.0,39,42,1.0,16493,0.0,5732,1373289,27731.4156,-16.0,2.0,27.0,-23.0,-10.0,3.0
6964.0,35,38,1.0,19429,597526.3776843529,6996,1567322,32744.2922,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7611.0,61,64,2.0,23991,858676.4204693994,7784,1862977,41921.3539,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10264.0,64,71,2.0,32202,3243338.728153035,10229,2415365,48916.3231,-20.0,-4.0,4.0,-26.0,-10.0,5.0
10130.0,48,51,2.0,40475,0.0,10191,3071721,49389.8385,-26.0,-15.0,-1.0,-32.0,-18.0,7.0
15052.0,53,58,4.0,47141,0.0,15046,3674667,59034.0808,-20.0,-6.0,-9.0,-33.0,-9.0,6.0
16682.0,55,58,8.0,51483,72790.42821782656,16667,4175670,61089.4596,-20.0,-5.0,-11.0,-32.0,-10.0,6.0
18255.0,58,64,10.0,54143,0.0,18279,4727020,63387.7702,-18.0,-2.0,-16.0,-25.0,-10.0,6.0
