cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15047.0,33,81,0.5,41908,1118379.0932159775,14435,0,36404.375,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15422.0,28,35,0.5,38075,0.0,13554,0,32585.8125,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13553.0,29,34,0.5,33808,1713045.883229442,12763,0,35648.3438,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12278.0,28,35,0.5,39589,729558.9814261404,12670,0,32064.8281,-30.0,7.0,9.0,-35.0,-26.0,9.0
9994.0,26,31,1.0,42468,0.0,9790,0,22821.5859,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8554.0,25,29,1.0,34871,3938193.6182152117,8151,0,25414.207,-27.0,0.0,43.0,-30.0,-21.0,7.0
6614.0,21,23,0.5,29173,1005572.6312956474,6578,0,34661.3965,-24.0,-1.0,48.0,-26.0,-12.0,6.0
6118.0,19,22,0.5,25884,1138828.2368997626,5712,0,20543.8018,-21.0,1.0,51.0,-25.0,-13.0,5.0
5214.0,21,26,1.0,20994,0.0,5256,0,16411.5991,-18.0,2.0,74.0,-20.0,-10.0,4.0
4220.0,30,34,1.0,17872,0.0,4189,0,16046.2004,-17.0,6.0,69.0,-20.0,-11.0,3.0
3965.0,38,43,1.0,15609,0.0,3782,0,20203.8998,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3700.0,33,37,1.0,14366,2500850.7228505933,3488,0,22776.0501,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5253.0,40,42,1.0,14948,475669.4351134153,4623,0,31580.9749,-19.0,0.0,62.0,-21.0,-12.0,4.0
5539.0,38,41,1.0,16034,1373228.0840616617,5164,0,31103.0125,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6485.0,34,38,1.0,17524,0.0,6353,0,33335.4937,-19.0,-2.0,77.0,-21.0,-13.0,4.0
8019.0,32,36,1.0,19128,0.0,8017,0,32894.7531,-17.0,0.0,69.0,-20.0,-14.0,4.0
7271.0,29,32,1.0,18625,218373.0074016321,7262,0,35842.1234,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7060.0,26,29,1.0,17713,0.0,7498,0,27076.9383,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6801.0,26,29,1.0,16592,1425662.404025226,6903,0,23045.5309,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6315.0,23,26,1.0,14827,445851.0394034618,6527,0,20011.2346,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5869.0,28,30,1.0,14191,979793.4428101695,5901,0,17906.3827,-15.0,0.0,81.0,-18.0,-17.0,2.0
5141.0,25,30,1.0,12832,0.0,5108,0,16505.8086,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5574.0,25,28,1.0,11135,3680366.8835511324,5549,0,16404.5957,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5381.0,26,30,1.0,10848,2021114.3099835285,5281,0,16726.7022,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4917.0,50,56,1.0,10612,1086191.2003154778,4790,0,17452.6489,-13.0,-1.0,42.0,-20.0,-11.0,2.0
4996.0,31,37,1.0,11215,0.0,4830,0,20818.6755,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5032.0,32,35,1.0,12142,0.0,4875,0,22114.6622,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5752.0,35,37,1.0,14254,0.0,5672,0,37903.1689,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5748.0,39,42,1.0,16493,0.0,5732,0,27731.4156,-16.0,2.0,27.0,-23.0,-10.0,3.0
6971.0,35,38,1.0,19429,658894.353613182,6996,0,32744.2922,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7608.0,61,64,2.0,23991,949196.5597248412,7784,0,41921.3539,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10259.0,64,71,2.0,32202,3611345.048813352,10229,0,48916.3231,-20.0,-4.0,4.0,-26.0,-10.0,5.0
10143.0,48,51,2.0,40475,0.0,10191,0,49389.8385,-26.0,-15.0,-1.0,-32.0,-18.0,7.0
15053.0,53,58,4.0,47141,0.0,15046,0,59034.0808,-20.0,-6.0,-9.0,-33.0,-9.0,6.0
16673.0,55,58,8.0,51483,64333.47421979977,16667,0,61089.4596,-20.0,-5.0,-11.0,-32.0,-10.0,6.0
18227.0,58,64,10.0,54143,0.0,18298,0,63387.7702,-18.0,-2.0,-16.0,-25.0,-10.0,6.0
15703.0,51,54,5.0,54552,0.0,15579,0,59493.6149,-31.0,-18.0,-21.0,-37.0,-26.0,9.0
18222.0,57,60,8.0,55546,96576.62415895029,18373,0,66738.1925,-26.0,-13.0,-14.0,-33.0,-21.0,9.0
22218.0,51,56,13.0,55384,0.0,21796,0,73786.4037,-23.0,-9.0,-20.0,-35.0,-12.0,8.0
