cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15157,33,81,0.5,41917,100698,14437,15804,24465.0,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15529,28,35,0.5,38083,102580,13555,33482,17813.0,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13383,29,34,0.5,33815,94028,12759,35363,23671.0,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12281,28,35,0.5,39592,85950,12672,34688,19807.0,-30.0,7.0,9.0,-35.0,-26.0,9.0
10013,26,31,1.0,42471,76174,9793,34225,11959.0,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8496,25,29,1.0,34872,65686,8151,83761,15451.0,-27.0,0.0,43.0,-30.0,-21.0,7.0
6562,21,23,0.5,29171,58612,6576,124049,25360.0,-24.0,-1.0,48.0,-26.0,-12.0,6.0
5929,19,22,0.5,25885,50583,5712,57506,7288.0,-21.0,1.0,51.0,-25.0,-13.0,5.0
5141,21,26,1.0,20995,43575,5257,47303,8100.0,-18.0,2.0,74.0,-20.0,-10.0,4.0
4170,30,34,1.0,17858,38665,4189,51769,6920.0,-17.0,6.0,69.0,-20.0,-11.0,3.0
3876,38,43,1.0,15603,37127,3783,49902,7756.0,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3653,33,37,1.0,14376,38425,3484,107003,8107.0,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5250,40,42,1.0,14943,40722,4627,83574,14155.0,-19.0,0.0,62.0,-21.0,-12.0,4.0
5567,38,41,1.0,16030,43756,5161,107551,13335.0,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6445,34,38,1.0,17528,61304,6352,136613,14496.0,-19.0,-2.0,77.0,-21.0,-13.0,4.0
7959,32,36,1.0,19126,73121,8018,160121,18148.0,-17.0,0.0,69.0,-20.0,-14.0,4.0
7292,29,32,1.0,18639,70199,7258,156589,21033.0,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7077,26,29,1.0,17715,65059,7504,153512,14718.0,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6824,26,29,1.0,16589,60496,6901,147426,11522.0,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6340,23,26,1.0,14824,54088,6523,136363,10116.0,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5876,28,30,1.0,14190,49101,5903,142900,8670.0,-15.0,0.0,81.0,-18.0,-17.0,2.0
5143,25,30,1.0,12836,45881,5107,116996,8030.0,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5506,25,28,1.0,11143,43716,5551,118773,8425.0,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5391,26,30,1.0,10845,43263,5281,154385,8608.0,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4873,50,56,1.0,10609,43161,4786,126197,9373.0,-13.0,-1.0,42.0,-20.0,-11.0,2.0
5088,31,37,1.0,11214,45650,4836,125319,8851.0,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5199,32,35,1.0,12145,50051,4874,132974,12004.0,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5844,35,37,1.0,14248,57140,5671,161190,26235.0,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5977,39,42,1.0,16491,64137,5722,176748,14364.0,-16.0,2.0,27.0,-23.0,-10.0,3.0
7228,35,38,1.0,19425,74530,6997,205119,16822.0,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7953,61,64,2.0,23988,87230,7791,257287,21697.0,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10862,64,71,2.0,32194,107055,10228,338873,24748.0,-20.0,-4.0,4.0,-26.0,-10.0,5.0
10811,48,51,2.0,40463,122850,10187,435599,23585.0,-26.0,-15.0,-1.0,-32.0,-18.0,7.0
15720,53,58,4.0,47132,135737,15033,478858,29513.0,-20.0,-6.0,-9.0,-33.0,-9.0,6.0
17633,55,58,8.0,51481,144854,16679,592629,29132.0,-20.0,-5.0,-11.0,-32.0,-10.0,6.0
19162,58,64,10.0,54138,151877,18274,563613,28791.0,-18.0,-2.0,-16.0,-25.0,-10.0,6.0
16649,51,54,5.0,54559,155763,15615,490317,23483.0,-31.0,-18.0,-21.0,-37.0,-26.0,9.0
18895,57,60,8.0,55545,160418,18371,571375,28749.0,-26.0,-13.0,-14.0,-33.0,-21.0,9.0
22550,51,56,13.0,55390,165346,21784,552492,33715.0,-23.0,-9.0,-20.0,-35.0,-12.0,8.0
23897,58,62,20.0,54850,165887,23255,530560,27258.0,-25.0,-12.0,-14.0,-36.0,-14.0,7.0
