cases,deaths,doctor_visits,wili,wcli
9.0,1365.4712653437357,0.294885,0.0,0.0
13.0,0.0,0.347367,0.0,0.0
18.0,2172.361091165888,0.4100909999999999,0.0,0.0
15.0,863.5959154474733,0.914553,0.0,0.0
23.0,0.0,1.863957,0.0,0.0
40.0,5196.0192710218225,3.2641410000000004,0.0,0.0
49.0,1270.6143006252591,5.142035000000001,0.0,0.0
73.0,1462.164107269416,6.425232,0.0,0.0
47.0,0.0,7.105777000000001,0.0,0.0
196.0,0.0,9.334026,0.0,0.0
359.0,0.0,10.839731999999998,0.0,0.0
273.0,3310.007335499162,12.429635,0.0,0.0
456.0,592.5935286140576,13.491933,0.0,0.0
591.0,1791.8334214215402,13.566162,0.0,0.0
358.0,0.0,14.254261,0.0,0.0
433.0,0.0,14.463193,0.0,0.0
567.0,221.83404405277142,15.538808,0.0,0.0
704.0,0.0,15.539565,0.0,0.0
648.0,1849.7510979283625,15.730027000000002,0.0,0.0
870.0,551.6554211156607,16.346947,0.0,0.0
761.0,1267.7767605906058,17.777138,0.0,0.0
429.0,0.0,17.975970000000004,0.0,0.0
717.0,4896.559431548688,17.842236,4.1498714,3.1033209
827.0,2718.8084337748705,19.543605,5.7987624,5.189151999999999
883.0,1455.4946403690035,21.115681,5.565300500000001,4.9749596
1229.0,0.0,22.803352,6.015538899999999,5.463441700000001
1209.0,0.0,24.330267,6.2285348,5.7548134
973.0,0.0,24.961856,6.067726400000001,5.6832306
1246.0,0.0,24.59837,6.0572302,5.6938486
775.0,838.0805125359219,23.971143,6.8299848,6.537055499999999
674.0,1230.5490976033252,25.341481,7.272916100000001,6.8666708
855.0,4792.908123129882,25.615611,7.7328901,7.386006
1130.0,0.0,25.635757,8.2146607,7.905560600000001
1109.0,0.0,26.696128,8.382387800000002,7.982063100000001
1018.0,0.0,28.275568,8.262040299999999,7.868529900000001
805.0,0.0,27.259247,8.7243707,8.467161599999999
770.0,0.0,25.995187999999995,9.1244688,8.825615999999998
759.0,18.326216409672043,26.314498,8.3389276,8.6102048
956.0,0.0,27.733605,8.294639199999999,8.2361872
1887.0,811.7173544761229,27.981146000000003,8.399096199999999,8.2616983
2949.0,0.0,30.215625000000003,8.3723629,8.2503915
1351.0,1992.8653732881846,32.957043000000006,8.296082,8.2425472
700.0,974.1406629751918,33.934715000000004,7.8822436,7.8295695
1006.0,0.0,34.45899,6.7357917,6.6480167
1288.0,1978.5698149240466,37.757684,6.295930299999999,6.014767
1336.0,1764.4894556714762,42.384993,6.4010265,6.295747799999999
1206.0,0.0,45.805686,4.8370064,4.8374913
1319.0,0.0,47.461747,4.546333700000001,4.4964710000000006
1248.0,856.0797255072658,45.816842,4.0274977,3.8803465
724.0,0.0,43.57521,4.0084758,3.9321458
768.0,0.0,40.304611,3.7570473,3.7457075
797.0,0.0,40.343247,4.0920708,4.1885712
1370.0,1604.09285209719,39.318507,3.2348414,3.2942762
1090.0,766.0558337253435,38.32126499999999,3.4800956000000003,3.5286201000000004
1093.0,1009.492828244642,40.16196,3.7087397,3.8344082
950.0,1498.795711319566,41.138809,3.4794075,3.634839
593.0,0.0,40.518962,3.2762249,3.3093731
422.0,342.38750997769904,38.927827,4.1821629,4.190696
607.0,0.0,41.673031,4.277838600000001,4.166698200000001
793.0,0.0,44.967163,5.3943767,5.4040715
1174.0,819.3826840706218,47.178872,4.973464399999999,4.9681642
837.0,0.0,47.570149,5.060618399999999,4.5244681
937.0,320.4645797183647,47.627388,5.156761599999999,4.2804894
691.0,1357.6304822362656,44.773893,5.344312,4.485020800000001
637.0,580.9756242790986,41.68069700000001,4.8386848,4.0571056
584.0,242.95605385741968,41.299347,4.2191166,3.4994895
