cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15041.0,33,81,0.5,41908,883589.4846546928,14435,161374,36404.375,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15420.0,28,35,0.5,38075,0.0,13554,298023,32585.8125,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13547.0,29,34,0.5,33808,1339513.4456060051,12763,401797,35648.3438,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12282.0,28,35,0.5,39589,581065.6721275414,12670,332326,32064.8281,-30.0,7.0,9.0,-35.0,-26.0,9.0
9975.0,26,31,1.0,42468,0.0,9476,345119,22821.5859,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8556.0,25,29,1.0,34871,3044750.188328756,8226,452794,25414.207,-27.0,0.0,43.0,-30.0,-21.0,7.0
6637.0,21,23,0.5,29173,787093.4572201122,6555,829918,34661.3965,-24.0,-1.0,48.0,-26.0,-12.0,6.0
6117.0,19,22,0.5,25884,887756.4143852686,5721,909638,20543.8018,-21.0,1.0,51.0,-25.0,-13.0,5.0
5214.0,21,26,1.0,20994,0.0,5259,441364,16411.5991,-18.0,2.0,74.0,-20.0,-10.0,4.0
4224.0,30,34,1.0,17872,0.0,4221,434089,16046.2004,-17.0,6.0,69.0,-20.0,-11.0,3.0
3943.0,38,43,1.0,15609,0.0,3808,458209,20203.8998,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3644.0,33,37,1.0,14366,1932734.345249502,3500,641569,22776.0501,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5232.0,40,42,1.0,14948,375321.8850624807,4664,797432,31580.9749,-19.0,0.0,62.0,-21.0,-12.0,4.0
5466.0,38,41,1.0,16034,1066502.075698045,5166,818593,31103.0125,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6408.0,34,38,1.0,17524,0.0,6357,975203,33335.4937,-19.0,-2.0,77.0,-21.0,-13.0,4.0
7969.0,32,36,1.0,19128,0.0,7997,1223728,32894.7531,-17.0,0.0,69.0,-20.0,-14.0,4.0
7268.0,29,32,1.0,18625,184183.95593151165,7294,1269795,35842.1234,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7054.0,26,29,1.0,17713,0.0,7491,1231875,27076.9383,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6857.0,26,29,1.0,16592,1110697.0626227183,6928,1221581,23045.5309,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6270.0,23,26,1.0,14827,355465.81219709164,6529,1106177,20011.2346,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5959.0,28,30,1.0,14191,765069.1829586163,5897,1107181,17906.3827,-15.0,0.0,81.0,-18.0,-17.0,2.0
5145.0,25,30,1.0,12832,0.0,5114,1030219,16505.8086,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5597.0,25,28,1.0,11135,2841337.987108967,5548,967531,16404.5957,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5393.0,26,30,1.0,10848,1564798.12144346,5281,1087434,16726.7022,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4914.0,50,56,1.0,10612,845551.3515427263,4798,1133216,17452.6489,-13.0,-1.0,42.0,-20.0,-11.0,2.0
4997.0,31,37,1.0,11215,0.0,4808,1076097,20818.6755,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5025.0,32,35,1.0,12142,0.0,4855,1134866,22114.6622,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5723.0,35,37,1.0,14254,0.0,5664,1202394,37903.1689,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5723.0,39,42,1.0,16493,0.0,5694,1373289,27731.4156,-16.0,2.0,27.0,-23.0,-10.0,3.0
6955.0,35,38,1.0,19429,524073.5329256826,6955,1567322,32744.2922,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7582.0,61,64,2.0,23991,750330.6320410135,7714,1862977,41921.3539,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10283.0,64,71,2.0,32202,2802862.881711222,10088,2415365,48916.3231,-20.0,-4.0,4.0,-26.0,-10.0,5.0
10100.0,48,51,2.0,40475,0.0,10161,3071721,49389.8385,-26.0,-15.0,-1.0,-32.0,-18.0,7.0
15139.0,53,58,4.0,47140,0.0,14859,3674541,58893.0808,-20.0,-6.0,-9.0,-33.0,-9.0,6.0
