date,merch_postal_code,spendamt_clipped
2019-01-01,7071,-145054.25079038314
2019-01-01,55411,-145459.91736396472
2019-01-01,70040,155910.2252587414
2019-01-01,70050,704652.8086968489
2019-01-01,70070,244611.1698697492
2019-01-01,70071,747110.2400714515
2019-01-01,70077,23053.242227732728
2019-01-01,70089,268021.3693969004
2019-01-01,70100,179042.1163754072
2019-01-01,70150,375061.0600410788
2019-01-01,70200,495240.5415981355
2019-01-01,70210,66681.8999219795
2019-01-01,70232,113898.52512969144
2019-01-01,70233,437962.7391982204
2019-01-01,70234,785627.1877422185
2019-01-01,70235,-571964.0916044601
2019-01-01,70236,-22838.776009083464
2019-01-01,70237,95742.1337728446
2019-01-01,70238,233338.1053850115
2019-01-01,70239,479093.3350014123
2019-01-01,70252,-328639.29358620563
2019-01-01,70253,16423.708347145715
2019-01-01,70254,94123.43206954717
2019-01-01,70255,36410.001488880924
2019-01-01,70256,-228541.06936834595
2019-01-01,70257,365764.28473334777
2019-01-01,70258,65583.39536429719
2019-01-01,70272,86619.38114248813
2019-01-01,70273,133152.99349906057
2019-01-01,70274,37637.93962610465
2019-01-01,70275,128483.05087193871
2019-01-01,70276,4011.9834448183974
2019-01-01,70277,70936.87871476897
2019-01-01,70278,155160.6589937599
2019-01-01,70292,173443.59312930182
2019-01-01,70293,405480.1497862072
2019-01-01,70294,-15207.311630546421
2019-01-01,70295,-625249.3666345109
2019-01-01,70296,22865.513204624018
2019-01-01,70297,156281.35659550806
2019-01-01,70298,196756.42403347022
2019-01-01,70299,352949.5523887623
2019-01-01,70300,377573.9168681989
2019-01-01,70301,112827.57712046546
2019-01-01,70302,312935.60782034724
2019-01-01,70303,855649.3067628016
2019-01-01,70304,211001.89501156186
2019-01-01,70305,111735.97844799233
2019-01-01,70306,-554380.2253483242
2019-01-01,70307,643154.290449054
2019-01-01,70308,214050.26097047422
2019-01-01,70310,1788.5757238910446
2019-01-01,70311,175287.86429228322
2019-01-01,70312,-287060.8176352368
2019-01-01,70313,263105.67756230594
2019-01-01,70314,172824.48359791219
2019-01-01,70315,-87995.74471669864
2019-01-01,70316,126890.46869827274
2019-01-01,70322,-2612.8479542093846
2019-01-01,70330,-194558.197438463
2019-01-01,70331,-103787.94595612689
2019-01-01,70336,-359540.36354335025
2019-01-01,70337,833646.615380314
2019-01-01,70338,-184243.3448290059
2019-01-01,70340,179979.15420136158
2019-01-01,70342,367109.4347792192
2019-01-01,70343,-867491.2527074389
2019-01-01,70344,186240.7543748719
2019-01-01,70345,112758.28368262087
2019-01-01,70346,241960.47711720754
2019-01-01,70347,699203.4730948139
2019-01-01,70350,119132.11283945211
2019-01-01,70351,248849.27989275966
2019-01-01,70352,139865.7383177168
2019-01-01,70353,149581.44974130442
2019-01-01,70354,311615.30234327173
2019-01-01,70355,295118.2696053605
2019-01-01,70360,205512.64667531013
2019-01-01,70361,625459.8756595706
2019-01-01,70362,-137999.16658704143
2019-01-01,70363,176180.4290204657
2019-01-01,70364,500727.63140235737
2019-01-01,70365,273557.890964937
2019-01-01,70372,459479.9680482128
2019-01-01,70373,197790.94211658044
2019-01-01,70374,298060.72187927156
2019-01-01,70375,112490.43696470979
2019-01-01,70376,235693.67655874253
2019-01-01,70377,321383.8146770035
2019-01-01,70380,135162.86705664484
2019-01-01,70381,155931.1427449955
2019-01-01,70382,273713.0388819508
2019-01-01,70383,-527198.5582991744
2019-01-01,70384,4950.0448782484455
2019-01-01,70385,141233.59339438778
2019-01-01,70386,131791.87482631207
2019-01-01,70387,331263.32015485514
2019-01-01,70390,-124906.43944527803
2019-01-01,70610,312197.58549570927
2019-01-01,70620,139345.9601985041
2019-01-01,70630,-178786.53497650765
2019-01-01,70631,157085.04004091286
2019-01-01,70632,67625.13292990199
2019-01-01,70633,50623.836875261564
2019-01-01,70634,458980.5373587145
2019-01-01,70635,131453.57405729784
2019-01-01,70636,-3181.4922085556755
2019-01-01,70640,211382.34352005098
2019-01-01,70645,42284.11896526711
2019-01-01,70648,-28757.02366521221
2019-01-01,70650,-65163.95418458192
2019-01-01,70655,300800.7237122322
2019-01-01,70658,-20295.858539919645
2019-01-01,70660,44452.18905856495
2019-01-01,70670,227423.66297599074
2019-01-01,70673,-180933.37151094637
2019-01-01,70675,-104480.9567769226
2019-01-01,70680,437386.8879334435
2019-01-01,70683,414498.2156299632
2019-01-01,70684,-2385.6351133816934
2019-01-01,70686,307405.82727635524
2019-01-01,70687,392760.83574966475
2019-01-01,70688,281038.9937389084
2019-01-01,70701,104091.23253715965
2019-01-01,70702,-59910.65659579451
2019-01-01,70703,216791.02657434402
2019-01-01,70704,485249.60891908046
2019-01-01,70705,605356.2518457582
2019-01-01,70710,206469.14042627095
2019-01-01,70711,184654.04393302766
2019-01-01,110001,-98359.5380872098
2019-01-01,110010,297106.71175405395
2019-01-01,110011,474032.45326236263
2019-01-01,110111,365494.3544765363
2019-01-01,110121,193717.18029109793
2019-01-01,110131,648022.2321118219
2019-01-01,110141,263821.79825917946
2019-01-01,110151,114808.29819689417
2019-01-01,110211,604743.5370696541
2019-01-01,110221,578769.0543486326
2019-01-01,110231,370665.1344645643
2019-01-01,110311,395193.9811055373
2019-01-01,110321,297443.16573994845
2019-01-01,110411,536276.3733937596
2019-01-01,110421,1184.2467556615593
2019-01-01,110431,210811.06560926524
2019-01-01,110441,352116.6360797249
2019-01-01,110511,414625.9805179451
2019-01-01,110521,646627.4345970491
2019-01-01,110531,1002395.5079549651
2019-01-01,110541,351074.0236899742
2019-01-01,110551,479077.690516067
2019-01-01,110561,504019.1528160847
2019-01-01,110571,474570.74062116357
2019-01-01,110611,478875.1530711134
2019-01-01,110621,714318.1452706682
2019-01-01,110711,401408.9679481425
2019-01-01,110721,496325.9075769991
2019-01-01,110811,606029.7389048344
2019-01-01,110821,578178.3297849589
2019-01-01,110831,396832.180627106
2019-01-01,110841,1131238.4027995288
2019-01-01,110851,320576.11894983123
2019-01-01,110861,887013.953079897
2019-01-01,110871,401057.1519419935
2019-01-01,110881,833031.3427361953
2019-01-01,110911,182287.60328588926
2019-01-01,110921,373696.9234433548
2019-01-01,110931,606788.6279069784
2019-01-01,111011,251739.67635514174
2019-01-01,111021,221316.77855458023
2019-01-01,111031,658349.3754997116
2019-01-01,111041,441776.1339735185
2019-01-01,111051,598765.2088810958
2019-01-01,111061,468554.8710536182
2019-01-01,111071,690644.0191342873
2019-01-01,111111,279984.7780123007
2019-01-01,111121,963315.2756178135
2019-01-01,111131,604329.0192904286
2019-01-01,111141,548412.7446905577
2019-01-01,111151,475933.4126909989
2019-01-01,111156,77520.86761011876
2019-01-01,111166,509033.7685676367
2019-01-01,111176,596349.6462424431
2019-01-01,111211,582111.9194966871
2019-01-01,111221,181739.16883485665
2019-01-01,111311,619969.3899358949
2019-01-01,111321,536890.3872044343
2019-01-01,111411,745596.6643552686
2019-01-01,111511,713626.9696622508
2019-01-01,111611,623269.0182563084
2019-01-01,111621,787271.6343201272
2019-01-01,111631,215275.2404827486
2019-01-01,111711,186818.09574693895
2019-01-01,111811,554138.669593326
2019-01-01,111821,466987.16264174215
2019-01-01,111831,313778.464392802
2019-01-01,111841,320903.0528091128
2019-01-01,111911,416443.2451834695
2019-01-01,111921,659266.3708915792
2019-01-01,111931,131870.22730389936
2019-01-01,111941,313898.34943800746
2019-01-01,111951,181310.166279938
2019-01-01,111961,624634.5862580116
2019-01-01,111971,346565.5605421832
2019-01-01,111981,934746.9659103133
2019-01-01,112011,674870.7218054712
2019-01-01,112021,524120.47330825526
2019-01-01,112031,365545.4541922426
2019-01-01,112041,562316.0816666788
2019-01-01,500001,554771.165699121
2019-01-01,500002,675275.926493059
2019-01-01,500003,785788.9269209456
2019-01-01,500004,427862.93021451286
2019-01-01,500005,690161.7094071016
2019-01-01,500006,890711.686962937
2019-01-01,500007,317596.584732365
2019-01-01,500008,1290978.4814089732
2019-01-01,500009,785581.3101120827
2019-01-01,500010,612024.704760928
2019-01-01,500011,749960.2197385342
2019-01-01,500012,535356.8654797378
2019-01-01,500013,520649.82056923874
2019-01-01,500014,551076.6845510508
2019-01-01,500015,857516.6690036057
2019-01-01,500016,975452.4819542558
2019-01-01,500017,502826.6501532559
2019-01-01,500020,1037267.9977015262
2019-01-01,500021,566927.6421463131
2019-01-01,500022,1301521.0719817502
2019-01-01,500023,-39074.3993002543
2019-01-01,500024,853971.1141165749
2019-01-01,500025,431444.77984729595
2019-01-01,500026,713018.5860292505
2019-01-01,500027,1016525.7517861378
2019-01-01,500028,705553.9886211482
2019-01-01,500030,683011.7502095236
2019-01-01,500031,374648.03729857923
2019-01-01,500032,229375.96414883656
2019-01-01,500033,-137863.33654763945
2019-01-01,500034,521069.2463198935
2019-01-01,500035,-82419.11793802946
2019-01-01,500036,740408.0215046317
2019-01-01,500037,629043.7580730491
2019-01-01,500040,662912.9663386892
2019-01-01,500041,427875.15632286214
2019-01-01,500042,805684.4528440096
2019-01-01,500043,588322.9702980763
2019-01-01,500044,699245.8252102428
2019-01-01,500046,933585.5961498525
2019-01-01,500047,942901.1930864397
2019-01-01,7500000,53653.36063387978
2019-01-01,7550000,489965.6621633688
2019-01-01,7630000,309203.8011732009
2019-01-01,7690000,62045.080049303506
2019-01-01,7750000,211377.45843956096
2019-01-01,7810000,351674.2711752395
2019-01-01,7850000,62213.62488713802
2019-01-01,7910000,423665.08521611127
2019-01-01,7970000,366663.17897136684
2019-01-01,8010000,224733.17849490803
2019-01-01,8050000,41809.55522560084
2019-01-01,8150000,420139.58135153854
2019-01-01,8240000,-32260.811192878755
2019-01-01,8320000,421484.4803172803
2019-01-01,8380000,413649.68777635746
2019-01-01,8420000,201318.33288427256
2019-01-01,8460000,600329.0127734579
2019-01-01,8500000,104894.32214671263
2019-01-01,8540000,209581.33191595745
2019-01-01,8580000,784914.6170874445
2019-01-01,8640000,291408.1069271871
2019-01-01,8700000,212256.61966597548
2019-01-01,8780000,415645.73217202374
2019-01-01,8820000,550633.1907762261
2019-01-01,8860000,-359131.453363901
2019-01-01,8900000,200250.78655834403
2019-01-01,8940000,429400.9814917884
2019-01-01,8980000,381803.0339001202
2019-01-01,9020000,348227.3287999638
2019-01-01,9080000,367666.88992285763
2019-01-01,9120000,290646.6296021665
2019-01-01,9160000,132167.59468773584
2019-01-01,9200000,325882.7084602655
2019-01-01,9250000,255026.32423543034
2019-01-01,9340000,44201.21473091276
2019-01-01,9380000,541784.3996090322
2019-01-01,9420000,399607.79043881764
2019-01-01,9460000,395063.0981572591
2019-01-01,9480000,444068.0252562763
2019-01-01,9500000,179315.65471151206
2019-01-01,9540000,262312.25733991223
2019-01-01,9560000,340729.0920225004
2019-01-01,9580000,375006.3051279276
2019-01-01,9620000,-129862.5764728323
2019-01-01,9630000,524815.8091997029
2019-01-01,9650000,223726.4033031583
2019-01-01,9660000,396937.00722817826
2019-01-01,9670000,330304.9807384591
2019-01-01,9710000,29532.50084064441
2019-01-01,9750000,-54479.77897418919
2019-01-01,9790000,451086.28995524824
2019-01-01,9810000,324086.8035372681
2019-01-08,7071,270770.3473012195
2019-01-08,55411,930384.2834215855
2019-01-08,70040,335519.87468417746
2019-01-08,70050,-253886.43092045782
2019-01-08,70070,-7505.338552596164
2019-01-08,70071,133116.42535391706
2019-01-08,70077,394287.2315622774
2019-01-08,70089,156111.60120081034
2019-01-08,70100,39006.63345550322
2019-01-08,70150,92367.28052870661
2019-01-08,70200,-163858.4125969914
2019-01-08,70210,562149.520861772
2019-01-08,70232,-292209.14935704705
2019-01-08,70233,929621.8105324869
2019-01-08,70234,130818.37246946547
2019-01-08,70235,-32100.140709134022
2019-01-08,70236,123176.43423820412
2019-01-08,70237,636236.2653355172
2019-01-08,70238,816988.6852707204
2019-01-08,70239,24755.495212650276
2019-01-08,70252,109979.83874116694
2019-01-08,70253,274831.0768476062
2019-01-08,70254,385819.7816436048
2019-01-08,70255,-42751.30024311734
2019-01-08,70256,114750.67721934992
2019-01-08,70257,248231.48502971054
2019-01-08,70258,-239049.94256117768
2019-01-08,70272,-18762.155792293634
2019-01-08,70273,-134305.2850446982
2019-01-08,70274,-385704.189780327
2019-01-08,70275,360851.7823890037
2019-01-08,70276,825817.560246063
2019-01-08,70277,234751.62613916676
2019-01-08,70278,146006.5742509464
2019-01-08,70292,152783.37521618544
2019-01-08,70293,73973.37966734954
2019-01-08,70294,167929.08216878798
2019-01-08,70295,121237.19909389308
2019-01-08,70296,694545.1887712702
2019-01-08,70297,-377858.42957760935
2019-01-08,70298,95095.69525479282
2019-01-08,70299,98927.586264395
2019-01-08,70300,-203290.82546694385
2019-01-08,70301,470902.733116259
2019-01-08,70302,-287933.97915950837
2019-01-08,70303,-167604.08681947115
2019-01-08,70304,298110.641342867
2019-01-08,70305,219328.58760070775
2019-01-08,70306,225395.80789645677
2019-01-08,70307,292120.74281931063
2019-01-08,70308,78100.72544522787
2019-01-08,70310,75773.19251494296
2019-01-08,70311,-313197.50579453504
2019-01-08,70312,116791.3266357776
2019-01-08,70313,1414417.196701931
2019-01-08,70314,111954.35451783516
2019-01-08,70315,114540.29328508272
2019-01-08,70316,440004.0684350476
2019-01-08,70322,768882.6402031614
2019-01-08,70330,353141.4422588157
2019-01-08,70331,82315.12940702142
2019-01-08,70336,148387.3347359626
2019-01-08,70337,80908.45457412131
2019-01-08,70338,519987.72287977784
2019-01-08,70340,-126694.49546797067
2019-01-08,70342,153707.91801691774
2019-01-08,70343,1270.5349214601156
