date,merch_postal_code,spendamt_clipped
2019-01-01,110001,1320769.426202566
2019-01-01,110010,-264059.7474758542
2019-01-01,110011,-356392.3770776121
2019-01-01,110111,-139968.63311899855
2019-01-01,110121,488739.74922607513
2019-01-01,110131,625931.9439837022
2019-01-01,110141,139465.42337864876
2019-01-01,110151,-83382.73202846537
2019-01-01,110211,-189908.09287509904
2019-01-01,110221,-500765.52213681786
2019-01-01,110231,-629270.1902711159
2019-01-01,110311,753425.6618422428
2019-01-01,110321,-632922.8958001498
2019-01-01,110411,796356.693341976
2019-01-01,110421,35968.30980960134
2019-01-01,110431,490271.81471053767
2019-01-01,110441,495011.5165498847
2019-01-01,110511,905111.5016929625
2019-01-01,110521,-1854859.4450929547
2019-01-01,110531,-949746.8647635318
2019-01-01,110541,-362966.30636283924
2019-01-01,110551,353126.70616475627
2019-01-01,110561,711584.6129405043
2019-01-01,110571,1372210.388665374
2019-01-01,110611,254607.1490889722
2019-01-01,110621,286105.0624509097
2019-01-01,110711,-405846.98419780005
2019-01-01,110721,956931.2911259247
2019-01-01,110811,1673294.264425272
2019-01-01,110821,431913.74741618586
2019-01-01,110831,1488932.292471016
2019-01-01,110841,545247.6807736919
2019-01-01,110851,-271561.5884284143
2019-01-01,110861,881035.0858647085
2019-01-01,110871,-466140.7428834595
2019-01-01,110881,1500359.4550079785
2019-01-01,110911,133114.8753008822
2019-01-01,110921,650657.3755806381
2019-01-01,110931,416859.224252083
2019-01-01,111011,1148720.0273334046
2019-01-01,111021,36432.6087308196
2019-01-01,111031,938014.3625782237
2019-01-01,111041,1389096.4780728947
2019-01-01,111051,-607399.5423717132
2019-01-01,111061,579678.6544847535
2019-01-01,111071,1231756.3103523762
2019-01-01,111111,-236579.35193403985
2019-01-01,111121,29756.946526452084
2019-01-01,111131,419864.68552923895
2019-01-01,111141,-207731.20211419906
2019-01-01,111151,243486.48293612173
2019-01-01,111156,1242682.0894518523
2019-01-01,111166,1179190.0754994652
2019-01-01,111176,-1111288.838771002
2019-01-01,111211,680231.1324453857
2019-01-01,111221,599514.1594281431
2019-01-01,111311,543027.8865631785
2019-01-01,111321,448724.89138369774
2019-01-01,111411,-509963.2645262343
2019-01-01,111511,-475869.35369187203
2019-01-01,111611,1435606.3177545252
2019-01-01,111621,841403.745654222
2019-01-01,111631,1167519.105143456
2019-01-01,111711,1489985.4851032102
2019-01-01,111811,583701.8328662636
2019-01-01,111821,3199084.1853630035
2019-01-01,111831,306760.3914482732
2019-01-01,111841,637850.938975524
2019-01-01,111911,800727.4433299829
2019-01-01,111921,-44577.88693635061
2019-01-01,111931,-91127.9911334964
2019-01-01,111941,2728602.6505632214
2019-01-01,111951,738322.4836224583
2019-01-01,111961,823621.2942591491
2019-01-01,111971,1095674.0478666297
2019-01-01,111981,769031.8450711633
2019-01-01,112011,126531.09874365147
2019-01-01,112021,561283.3725852605
2019-01-01,112031,-1174100.511427596
2019-01-01,112041,218614.21635756583
2019-01-08,110001,1448086.729623282
2019-01-08,110010,846062.109415265
2019-01-08,110011,-72476.96877522912
2019-01-08,110111,-229051.69535932434
2019-01-08,110121,1007805.6976248517
2019-01-08,110131,-42463.824018211395
2019-01-08,110141,343214.3962274629
2019-01-08,110151,1583971.4424187732
2019-01-08,110211,2130830.1251967354
2019-01-08,110221,1277847.6920828796
2019-01-08,110231,579584.0244006187
2019-01-08,110311,1381459.684350866
2019-01-08,110321,779476.2555914564
2019-01-08,110411,1702445.1278465253
2019-01-08,110421,148782.25764571183
2019-01-08,110431,12793.7557380012
2019-01-08,110441,545266.2426204692
2019-01-08,110511,1064533.661350766
2019-01-08,110521,422017.1761377753
2019-01-08,110531,822043.0963302037
2019-01-08,110541,-214380.42292890407
2019-01-08,110551,1989983.0776922274
2019-01-08,110561,638416.2289988906
2019-01-08,110571,940517.4671152923
2019-01-08,110611,191454.58386198527
2019-01-08,110621,-335618.02850339795
2019-01-08,110711,413563.7385898259
2019-01-08,110721,2055689.5362245997
2019-01-08,110811,413834.4606085123
2019-01-08,110821,-253299.3332686617
2019-01-08,110831,3763456.846234509
2019-01-08,110841,23151.19365992758
2019-01-08,110851,-248633.4519056097
2019-01-08,110861,616688.3910073286
2019-01-08,110871,-236581.53377135354
2019-01-08,110881,794530.7807124984
2019-01-08,110911,627734.5723628799
2019-01-08,110921,256925.2855740203
2019-01-08,110931,1713574.7282375623
2019-01-08,111011,-1116860.351563334
2019-01-08,111021,510452.40135381056
2019-01-08,111031,2628341.437305275
2019-01-08,111041,420408.39873067325
2019-01-08,111051,46344.21650825831
2019-01-08,111061,1401545.0973665642
2019-01-08,111071,864020.3222241084
2019-01-08,111111,890451.9342903716
2019-01-08,111121,-2014362.082678879
2019-01-08,111131,330773.3988954177
2019-01-08,111141,814464.0201568827
2019-01-08,111151,219350.9375837657
2019-01-08,111156,106968.56726016442
2019-01-08,111166,327602.4681246559
2019-01-08,111176,855738.8217099368
2019-01-08,111211,1192071.4070229172
2019-01-08,111221,-255980.27444427984
2019-01-08,111311,750741.7185696766
2019-01-08,111321,1021390.9167030687
2019-01-08,111411,617543.9479353959
2019-01-08,111511,718202.1609657289
2019-01-08,111611,-8021.776938685332
2019-01-08,111621,1156657.048431397
2019-01-08,111631,562325.696415791
2019-01-08,111711,601275.7937523366
2019-01-08,111811,1016054.2460127075
2019-01-08,111821,681704.6904766338
2019-01-08,111831,517834.93731028255
2019-01-08,111841,-349559.2032292122
2019-01-08,111911,413036.0311231809
2019-01-08,111921,-1786347.000308802
2019-01-08,111931,-1034371.0732900742
2019-01-08,111941,-460778.37519769033
2019-01-08,111951,1147539.9712045803
2019-01-08,111961,2006627.6808534113
2019-01-08,111971,-747800.5286888848
2019-01-08,111981,-8334.987983343075
2019-01-08,112011,780457.3857503498
2019-01-08,112021,890298.8344332378
2019-01-08,112031,-167026.298896963
2019-01-08,112041,430040.2451861118
2019-01-15,110001,397049.0812740709
2019-01-15,110010,544163.798776702
2019-01-15,110011,1313497.3102665392
2019-01-15,110111,-1070161.8377288273
2019-01-15,110121,1550400.0676132774
2019-01-15,110131,1857981.8665317358
2019-01-15,110141,927410.9113303275
2019-01-15,110151,-605233.0100011324
2019-01-15,110211,-416970.6002914774
2019-01-15,110221,165117.67910905142
2019-01-15,110231,-2708046.783456827
2019-01-15,110311,1318905.5924192783
2019-01-15,110321,-732559.3268878001
2019-01-15,110411,649664.9487514232
2019-01-15,110421,68272.49613270862
2019-01-15,110431,1010614.3198057392
2019-01-15,110441,1215402.173984472
2019-01-15,110511,248020.87023122294
2019-01-15,110521,668951.3765969577
2019-01-15,110531,842185.8781144477
2019-01-15,110541,-77182.69995638024
2019-01-15,110551,517080.7226017592
2019-01-15,110561,1318528.4327621802
2019-01-15,110571,898400.9778830907
2019-01-15,110611,-193604.64685294323
2019-01-15,110621,818372.9047864729
2019-01-15,110711,-585632.5254036924
2019-01-15,110721,523516.95339707006
2019-01-15,110811,259414.57739196336
2019-01-15,110821,1085340.6417200612
2019-01-15,110831,652895.8854122797
2019-01-15,110841,2280558.7333036587
2019-01-15,110851,348152.9263518477
2019-01-15,110861,478285.958891927
2019-01-15,110871,500767.8841626928
2019-01-15,110881,781209.8748769077
2019-01-15,110911,589535.215563008
2019-01-15,110921,180574.85337327933
2019-01-15,110931,1425925.9691904653
2019-01-15,111011,529552.8873587656
2019-01-15,111021,-51783.67638251331
2019-01-15,111031,2069087.4076485117
2019-01-15,111041,1479699.3582765495
2019-01-15,111051,416878.61003452307
2019-01-15,111061,73240.57965226047
2019-01-15,111071,678837.9651515447
2019-01-15,111111,1270262.4090700876
2019-01-15,111121,578208.7995491037
2019-01-15,111131,-135415.73807668802
2019-01-15,111141,1989630.089180497
2019-01-15,111151,684127.6145848266
2019-01-15,111156,1931843.3665869064
2019-01-15,111166,1207387.8926182631
2019-01-15,111176,105966.89235675993
2019-01-15,111211,880634.935502321
2019-01-15,111221,23173.96937485342
2019-01-15,111311,1118126.1952453167
2019-01-15,111321,1661.6651749634184
2019-01-15,111411,373117.0774734837
2019-01-15,111511,-484398.4585931548
2019-01-15,111611,1099178.1210217653
2019-01-15,111621,1462336.5944505294
2019-01-15,111631,1990715.9542606627
2019-01-15,111711,379197.31605986774
2019-01-15,111811,490654.09559068916
2019-01-15,111821,1293088.543383679
2019-01-15,111831,1627252.140277029
