Age,Population
00-05,20158562
05-10,20307019
10-15,20633444
15-20,21988529
20-25,21524539
25-30,21038930
30-35,19906933
35-40,20126194
40-45,20831277
45-50,22635581
50-55,22218267
55-60,19585075
60-65,16739558
65-70,12370849
70-75,9231051
75+,18460735
